species;Lat;Lon
Lepisiota canescens;19.92943;41.44166
Lepisiota canescens;19.80559;41.71198
Lepisiota canescens;19.92943;41.44166
Lepisiota canescens;19.9296;41.44285
Lepisiota canescens;19.80559;41.71198
Lepisiota canescens;19.92943;41.44166
Lepisiota canescens;19.80559;41.71198
Lepisiota canescens;19.80559;41.71198
Lepisiota canescens;19.80559;41.71198
Lepisiota canescens;19.80559;41.71198
Lepisiota canescens;19.80559;41.71198
Lepisiota canescens;19.80559;41.71198
Lepisiota canescens;19.92796;41.44187
Lepisiota canescens;0.343;34.863
